id,campaign_id,campaign_name,channel,date,impressions,clicks,conversions,spend_usd,revenue_usd,ctr,cpc,cpl,conversion_rate,roas,bounce_rate,ad_quality,audience_age_group,audience_device,region,ad_format,objective,budget_type
13,1013,Campaign_13,Email,2024-11-19,34528,2933,129,3132.67,6703.98,0.0849,1.07,24.28,0.0440,2.14,0.9151,4,25-34,Tablet,LATAM,Video,Conversion,Lifetime
14,1014,Campaign_14,Google Ads,2024-03-27,17978,3657,447,603.61,1551.83,0.2034,0.17,1.35,0.1222,2.57,0.7966,3,25-34,Tablet,Europe,Carousel,Awareness,Daily
15,1015,Campaign_15,Organic Search,2024-08-30,47648,2175,469,1600.97,3968.53,0.0456,0.74,3.41,0.2156,2.48,0.9544,3,55+,Desktop,LATAM,Image,Consideration,Daily
16,1016,Campaign_16,Google Ads,2023-10-30,2055,3546,495,2117.92,4880.14,1.7255,0.60,4.28,0.1396,2.30,-0.7255,2,25-34,Tablet,Asia-Pacific,Video,Conversion,Lifetime
17,1017,Campaign_17,Organic Search,2023-02-11,11046,2290,291,839.33,1173.17,0.2073,0.37,2.88,0.1271,1.40,0.7927,1,45-54,Mobile,Asia-Pacific,Text,Awareness,Lifetime
18,1018,Campaign_18,Email,2024-12-21,36851,450,388,2555.07,2058.78,0.0122,5.68,6.59,0.8622,0.81,0.9878,5,45-54,Tablet,LATAM,Text,Consideration,Lifetime
19,1019,Campaign_19,Facebook Ads,2024-12-20,16678,2206,63,471.81,491.67,0.1323,0.21,7.49,0.0286,1.04,0.8677,3,45-54,Mobile,LATAM,Text,Awareness,Lifetime
20,1020,Campaign_20,Organic Search,2023-06-23,45876,2426,262,280.27,746.10,0.0529,0.12,1.07,0.1080,2.66,0.9471,4,45-54,Mobile,Europe,Video,Consideration,Lifetime
21,1021,Campaign_21,Google Ads,2024-08-02,27624,412,453,2623.19,6933.95,0.0149,6.37,5.79,1.0995,2.64,0.9851,5,45-54,Mobile,LATAM,Text,Consideration,Daily
22,1022,Campaign_22,Email,2024-03-08,43418,3988,119,1277.09,3676.62,0.0919,0.32,10.73,0.0298,2.88,0.9081,4,18-24,Desktop,North America,Image,Awareness,Lifetime
23,1023,Campaign_23,Organic Search,2024-09-22,39725,3901,277,522.10,360.23,0.0982,0.13,1.88,0.0710,0.69,0.9018,3,25-34,Mobile,LATAM,Text,Conversion,Lifetime
24,1024,Campaign_24,Facebook Ads,2023-04-25,6255,3462,201,2148.37,3957.35,0.5535,0.62,10.69,0.0581,1.84,0.4465,3,35-44,Mobile,LATAM,Video,Awareness,Lifetime
25,1025,Campaign_25,Facebook Ads,2023-05-19,10411,2356,45,4579.95,9717.31,0.2263,1.94,101.78,0.0191,2.12,0.7737,5,18-24,Tablet,Asia-Pacific,Video,Conversion,Lifetime
26,1026,Campaign_26,LinkedIn,2024-07-29,43459,134,167,3634.75,8275.03,0.0031,27.12,21.76,1.2463,2.28,0.9969,4,55+,Desktop,Asia-Pacific,Text,Consideration,Lifetime
27,1027,Campaign_27,LinkedIn,2023-01-07,37163,1874,444,4087.30,8622.81,0.0504,2.18,9.21,0.2369,2.11,0.9496,4,18-24,Desktop,Europe,Video,Consideration,Lifetime
28,1028,Campaign_28,Google Ads,2023-09-22,34971,3935,109,4365.97,10587.60,0.1125,1.11,40.05,0.0277,2.43,0.8875,3,35-44,Desktop,LATAM,Carousel,Consideration,Lifetime
29,1029,Campaign_29,Organic Search,2024-10-28,32235,357,45,4864.51,6803.89,0.0111,13.63,108.10,0.1261,1.40,0.9889,5,18-24,Mobile,North America,Video,Conversion,Daily
30,1030,Campaign_30,Organic Search,2023-10-31,20194,4407,211,3828.07,3631.24,0.2182,0.87,18.14,0.0479,0.95,0.7818,4,25-34,Mobile,North America,Carousel,Consideration,Lifetime
31,1031,Campaign_31,LinkedIn,2024-05-25,20476,1971,27,3061.62,3096.70,0.0963,1.55,113.39,0.0137,1.01,0.9037,3,45-54,Mobile,LATAM,Video,Awareness,Daily
32,1032,Campaign_32,Organic Search,2023-05-02,4044,680,86,1858.86,985.10,0.1682,2.73,21.61,0.1265,0.53,0.8318,4,25-34,Tablet,Europe,Video,Consideration,Daily
33,1033,Campaign_33,Organic Search,2023-10-06,41040,4825,290,949.13,1305.82,0.1176,0.20,3.27,0.0601,1.38,0.8824,3,18-24,Mobile,North America,Video,Conversion,Daily
34,1034,Campaign_34,Facebook Ads,2024-01-12,22057,2421,384,3448.97,2515.54,0.1098,1.42,8.98,0.1586,0.73,0.8902,1,35-44,Desktop,Europe,Text,Conversion,Daily
35,1035,Campaign_35,LinkedIn,2023-04-11,4514,3350,156,4975.00,6486.02,0.7421,1.49,31.89,0.0466,1.30,0.2579,5,55+,Tablet,LATAM,Video,Awareness,Lifetime
36,1036,Campaign_36,Email,2024-08-09,10990,3717,264,2363.43,4893.54,0.3382,0.64,8.95,0.0710,2.07,0.6618,2,25-34,Tablet,Europe,Image,Awareness,Lifetime
37,1037,Campaign_37,LinkedIn,2023-05-16,39960,776,264,3632.21,9938.44,0.0194,4.68,13.76,0.3402,2.74,0.9806,4,35-44,Desktop,LATAM,Text,Conversion,Daily
38,1038,Campaign_38,Email,2024-12-21,44535,1698,21,2500.71,6499.38,0.0381,1.47,119.08,0.0124,2.60,0.9619,3,55+,Mobile,Asia-Pacific,Carousel,Conversion,Lifetime
39,1039,Campaign_39,Facebook Ads,2024-05-12,8507,4362,255,2188.07,2476.21,0.5128,0.50,8.58,0.0585,1.13,0.4872,3,45-54,Tablet,LATAM,Image,Awareness,Daily
40,1040,Campaign_40,Google Ads,2023-01-22,5857,1319,190,2081.01,1738.08,0.2252,1.58,10.95,0.1440,0.84,0.7748,3,25-34,Desktop,Europe,Image,Awareness,Daily
41,1041,Campaign_41,Organic Search,2023-05-31,13118,4593,449,2547.89,2503.76,0.3501,0.55,5.67,0.0978,0.98,0.6499,5,25-34,Mobile,North America,Image,Awareness,Daily
42,1042,Campaign_42,Facebook Ads,2023-07-11,4146,368,463,1866.13,5463.03,0.0888,5.07,4.03,1.2582,2.93,0.9112,3,45-54,Tablet,LATAM,Image,Awareness,Daily
43,1043,Campaign_43,Organic Search,2023-02-26,27401,3525,231,3756.43,7038.37,0.1286,1.07,16.26,0.0655,1.87,0.8714,2,45-54,Tablet,LATAM,Video,Conversion,Daily
44,1044,Campaign_44,Google Ads,2024-03-31,27177,2828,185,4377.65,4186.15,0.1041,1.55,23.66,0.0654,0.96,0.8959,4,18-24,Tablet,LATAM,Video,Consideration,Lifetime
45,1045,Campaign_45,Google Ads,2023-10-01,39524,3108,325,4420.28,11500.97,0.0786,1.42,13.60,0.1046,2.60,0.9214,2,55+,Tablet,Asia-Pacific,Image,Conversion,Lifetime
46,1046,Campaign_46,Facebook Ads,2024-06-07,5414,4184,182,1177.11,1751.51,0.7728,0.28,6.47,0.0435,1.49,0.2272,2,35-44,Tablet,Asia-Pacific,Text,Awareness,Lifetime
47,1047,Campaign_47,Google Ads,2023-05-14,18494,1652,396,4484.75,12324.34,0.0893,2.71,11.33,0.2397,2.75,0.9107,1,45-54,Mobile,Asia-Pacific,Image,Conversion,Lifetime
48,1048,Campaign_48,Email,2023-10-02,21437,2306,480,1740.68,2004.73,0.1076,0.75,3.63,0.2082,1.15,0.8924,1,18-24,Desktop,North America,Carousel,Awareness,Lifetime
49,1049,Campaign_49,Google Ads,2024-07-01,4937,879,402,1581.07,2344.81,0.1780,1.80,3.93,0.4573,1.48,0.8220,3,55+,Tablet,North America,Image,Conversion,Daily
50,1050,Campaign_50,Organic Search,2023-02-10,37731,905,462,3647.44,6428.14,0.0240,4.03,7.89,0.5105,1.76,0.9760,3,55+,Desktop,LATAM,Video,Awareness,Lifetime
51,1051,Campaign_51,Organic Search,2023-10-16,22326,2698,416,1558.25,4256.42,0.1208,0.58,3.75,0.1542,2.73,0.8792,2,25-34,Desktop,North America,Carousel,Awareness,Daily
52,1052,Campaign_52,Organic Search,2023-09-29,39665,1908,201,312.18,834.11,0.0481,0.16,1.55,0.1053,2.67,0.9519,5,18-24,Desktop,Europe,Text,Conversion,Lifetime
53,1053,Campaign_53,Organic Search,2024-03-19,9974,1152,64,1899.41,3677.04,0.1155,1.65,29.68,0.0556,1.94,0.8845,2,18-24,Mobile,Europe,Image,Awareness,Daily
54,1054,Campaign_54,Email,2024-05-07,48145,2531,443,3621.25,3818.39,0.0526,1.43,8.17,0.1750,1.05,0.9474,5,25-34,Desktop,Asia-Pacific,Carousel,Consideration,Daily
55,1055,Campaign_55,LinkedIn,2024-11-19,18500,1870,395,1668.44,2516.66,0.1011,0.89,4.22,0.2112,1.51,0.8989,4,35-44,Desktop,Europe,Image,Awareness,Daily
56,1056,Campaign_56,Facebook Ads,2023-11-15,49824,4987,42,3166.32,9306.08,0.1001,0.63,75.39,0.0084,2.94,0.8999,1,45-54,Desktop,Europe,Text,Awareness,Daily
57,1057,Campaign_57,Organic Search,2024-11-13,2750,2129,220,3317.59,6699.65,0.7742,1.56,15.08,0.1033,2.02,0.2258,5,25-34,Tablet,LATAM,Text,Awareness,Daily
58,1058,Campaign_58,Google Ads,2023-06-20,5027,3208,16,3681.99,9030.98,0.6382,1.15,230.12,0.0050,2.45,0.3618,3,45-54,Tablet,Asia-Pacific,Carousel,Consideration,Daily
59,1059,Campaign_59,Organic Search,2023-03-13,45296,2490,323,4490.80,7296.03,0.0550,1.80,13.90,0.1297,1.62,0.9450,3,18-24,Desktop,Asia-Pacific,Text,Conversion,Lifetime
60,1060,Campaign_60,Google Ads,2024-01-04,6745,3734,284,2191.19,4009.92,0.5536,0.59,7.72,0.0761,1.83,0.4464,3,25-34,Mobile,Asia-Pacific,Carousel,Consideration,Lifetime
61,1061,Campaign_61,Google Ads,2023-06-22,22448,1305,182,873.84,1374.01,0.0581,0.67,4.80,0.1395,1.57,0.9419,4,35-44,Tablet,Europe,Text,Consideration,Daily
62,1062,Campaign_62,Organic Search,2024-10-16,43447,3007,390,1628.68,3676.42,0.0692,0.54,4.18,0.1297,2.26,0.9308,3,45-54,Tablet,North America,Video,Consideration,Daily
63,1063,Campaign_63,Email,2024-09-13,29451,3701,43,2189.23,5754.78,0.1257,0.59,50.91,0.0116,2.63,0.8743,2,45-54,Desktop,LATAM,Carousel,Conversion,Lifetime
64,1064,Campaign_64,Google Ads,2023-12-30,29207,2289,460,3583.76,6337.55,0.0784,1.57,7.79,0.2010,1.77,0.9216,2,45-54,Desktop,North America,Image,Awareness,Daily
65,1065,Campaign_65,Google Ads,2023-10-01,6938,1989,388,114.95,195.66,0.2867,0.06,0.30,0.1951,1.70,0.7133,4,18-24,Mobile,Asia-Pacific,Carousel,Consideration,Lifetime
66,1066,Campaign_66,Organic Search,2023-12-26,13150,319,187,1613.14,2178.89,0.0243,5.06,8.63,0.5862,1.35,0.9757,2,45-54,Tablet,Asia-Pacific,Text,Awareness,Daily
67,1067,Campaign_67,Google Ads,2023-08-27,14406,4880,389,3910.22,3686.33,0.3387,0.80,10.05,0.0797,0.94,0.6613,2,55+,Desktop,Europe,Text,Consideration,Lifetime
68,1068,Campaign_68,Google Ads,2023-02-11,20781,4114,481,3370.75,9600.30,0.1980,0.82,7.01,0.1169,2.85,0.8020,3,45-54,Tablet,LATAM,Text,Consideration,Daily
69,1069,Campaign_69,Organic Search,2024-09-17,38621,3825,262,3672.11,4737.75,0.0990,0.96,14.02,0.0685,1.29,0.9010,5,18-24,Desktop,LATAM,Image,Consideration,Lifetime
70,1070,Campaign_70,Organic Search,2023-10-06,19325,1162,173,4068.46,10178.18,0.0601,3.50,23.52,0.1489,2.50,0.9399,3,25-34,Desktop,LATAM,Image,Consideration,Lifetime
71,1071,Campaign_71,Facebook Ads,2023-06-19,4148,698,440,3927.02,8986.47,0.1683,5.63,8.93,0.6304,2.29,0.8317,3,45-54,Mobile,Europe,Text,Consideration,Lifetime
72,1072,Campaign_72,Email,2023-01-19,29879,1229,53,3426.81,8489.22,0.0411,2.79,64.66,0.0431,2.48,0.9589,5,45-54,Tablet,North America,Video,Consideration,Daily
73,1073,Campaign_73,Email,2023-12-12,8933,2192,219,2226.32,6327.02,0.2454,1.02,10.17,0.0999,2.84,0.7546,2,25-34,Tablet,LATAM,Carousel,Conversion,Lifetime
74,1074,Campaign_74,Google Ads,2023-01-21,10436,66,45,4918.81,10125.01,0.0063,74.53,109.31,0.6818,2.06,0.9937,4,55+,Desktop,North America,Text,Awareness,Lifetime
75,1075,Campaign_75,Email,2023-01-03,18669,166,393,2866.91,7869.31,0.0089,17.27,7.29,2.3675,2.74,0.9911,5,18-24,Mobile,Europe,Video,Awareness,Daily
76,1076,Campaign_76,Google Ads,2023-02-05,7474,1595,259,1053.71,968.62,0.2134,0.66,4.07,0.1624,0.92,0.7866,5,25-34,Mobile,Europe,Image,Conversion,Daily
77,1077,Campaign_77,Facebook Ads,2023-05-16,48447,3201,194,1499.42,3098.97,0.0661,0.47,7.73,0.0606,2.07,0.9339,1,18-24,Mobile,North America,Text,Consideration,Daily
78,1078,Campaign_78,Organic Search,2024-04-09,12228,2743,408,3483.13,8466.41,0.2243,1.27,8.54,0.1487,2.43,0.7757,3,25-34,Tablet,LATAM,Carousel,Conversion,Lifetime
79,1079,Campaign_79,Organic Search,2023-11-14,34538,4139,470,4627.46,5456.25,0.1198,1.12,9.85,0.1136,1.18,0.8802,2,35-44,Desktop,North America,Carousel,Conversion,Daily
80,1080,Campaign_80,Organic Search,2023-05-10,2843,1326,346,934.66,2198.21,0.4664,0.70,2.70,0.2609,2.35,0.5336,5,55+,Desktop,LATAM,Image,Conversion,Lifetime
81,1081,Campaign_81,Email,2023-02-19,1073,3290,461,457.62,1119.43,3.0662,0.14,0.99,0.1401,2.45,-2.0662,5,35-44,Mobile,Asia-Pacific,Text,Awareness,Lifetime
82,1082,Campaign_82,Facebook Ads,2023-10-27,17059,4992,60,4413.58,11378.08,0.2926,0.88,73.56,0.0120,2.58,0.7074,2,25-34,Mobile,Asia-Pacific,Text,Conversion,Lifetime
83,1083,Campaign_83,Email,2024-05-11,21733,3838,165,4580.63,5873.32,0.1766,1.19,27.76,0.0430,1.28,0.8234,4,25-34,Mobile,LATAM,Text,Consideration,Lifetime
84,1084,Campaign_84,Email,2024-07-30,41768,421,159,1418.08,3125.47,0.0101,3.37,8.92,0.3777,2.20,0.9899,5,18-24,Tablet,North America,Video,Conversion,Lifetime
85,1085,Campaign_85,Facebook Ads,2023-02-14,26395,2857,150,1917.56,2417.34,0.1082,0.67,12.78,0.0525,1.26,0.8918,2,25-34,Desktop,LATAM,Video,Awareness,Daily
86,1086,Campaign_86,Facebook Ads,2023-05-13,21202,205,110,3317.93,7789.18,0.0097,16.19,30.16,0.5366,2.35,0.9903,2,18-24,Mobile,LATAM,Text,Awareness,Daily
87,1087,Campaign_87,Facebook Ads,2024-01-23,14273,2711,487,1683.15,2789.71,0.1899,0.62,3.46,0.1796,1.66,0.8101,1,18-24,Mobile,LATAM,Carousel,Consideration,Daily
88,1088,Campaign_88,Facebook Ads,2024-07-07,49889,514,36,4391.94,8756.92,0.0103,8.54,122.00,0.0700,1.99,0.9897,3,25-34,Desktop,Asia-Pacific,Video,Conversion,Daily
89,1089,Campaign_89,Organic Search,2024-08-13,34099,4928,2,582.51,896.83,0.1445,0.12,291.26,0.0004,1.54,0.8555,5,18-24,Tablet,Europe,Carousel,Consideration,Daily
90,1090,Campaign_90,LinkedIn,2023-07-20,8512,4949,482,238.01,215.39,0.5814,0.05,0.49,0.0974,0.90,0.4186,5,55+,Tablet,Asia-Pacific,Video,Conversion,Daily
91,1091,Campaign_91,LinkedIn,2023-02-16,29231,4365,12,1082.01,1022.58,0.1493,0.25,90.17,0.0027,0.95,0.8507,2,35-44,Tablet,LATAM,Image,Consideration,Daily
92,1092,Campaign_92,Facebook Ads,2024-11-10,24274,1823,161,1466.13,1017.38,0.0751,0.80,9.11,0.0883,0.69,0.9249,2,25-34,Desktop,North America,Image,Consideration,Lifetime
93,1093,Campaign_93,LinkedIn,2024-08-15,38699,166,343,608.99,1245.50,0.0043,3.67,1.78,2.0663,2.05,0.9957,3,18-24,Tablet,Europe,Image,Consideration,Lifetime
94,1094,Campaign_94,LinkedIn,2023-06-15,46510,2153,448,375.17,983.54,0.0463,0.17,0.84,0.2081,2.62,0.9537,5,18-24,Mobile,LATAM,Carousel,Awareness,Lifetime
95,1095,Campaign_95,Facebook Ads,2024-01-12,23409,1424,331,3790.26,2092.57,0.0608,2.66,11.45,0.2324,0.55,0.9392,4,18-24,Tablet,Europe,Carousel,Awareness,Lifetime
96,1096,Campaign_96,LinkedIn,2024-08-13,47194,3253,263,863.17,574.52,0.0689,0.27,3.28,0.0808,0.67,0.9311,4,18-24,Desktop,North America,Text,Conversion,Lifetime
97,1097,Campaign_97,Email,2024-05-06,6113,4453,82,4573.91,7517.99,0.7284,1.03,55.78,0.0184,1.64,0.2716,4,55+,Tablet,Europe,Text,Awareness,Daily
98,1098,Campaign_98,Google Ads,2023-04-30,42187,3596,264,1871.60,4387.60,0.0852,0.52,7.09,0.0734,2.34,0.9148,1,25-34,Desktop,Europe,Image,Consideration,Daily
99,1099,Campaign_99,Google Ads,2023-01-02,3881,4027,411,3369.50,3013.24,1.0376,0.84,8.20,0.1021,0.89,-0.0376,3,25-34,Desktop,LATAM,Image,Awareness,Daily
100,1100,Campaign_100,Facebook Ads,2023-01-29,46913,4367,333,1165.74,1374.56,0.0931,0.27,3.50,0.0763,1.18,0.9069,5,55+,Tablet,North America,Video,Awareness,Lifetime
101,1101,Campaign_101,Organic Search,2024-01-06,47324,1246,379,1239.60,1338.79,0.0263,0.99,3.27,0.3042,1.08,0.9737,1,55+,Mobile,North America,Image,Conversion,Daily
102,1102,Campaign_102,Facebook Ads,2024-02-20,20249,3461,218,2894.81,4335.35,0.1709,0.84,13.28,0.0630,1.50,0.8291,4,55+,Desktop,Asia-Pacific,Image,Consideration,Lifetime
103,1103,Campaign_103,Organic Search,2023-11-22,36343,846,145,2825.18,3001.74,0.0233,3.34,19.48,0.1714,1.06,0.9767,3,25-34,Tablet,Europe,Image,Awareness,Lifetime
104,1104,Campaign_104,Google Ads,2024-03-15,13714,3942,297,3855.21,5325.96,0.2874,0.98,12.98,0.0753,1.38,0.7126,4,45-54,Desktop,LATAM,Carousel,Awareness,Daily
105,1105,Campaign_105,Facebook Ads,2024-11-24,39953,200,296,3801.18,8823.89,0.0050,19.01,12.84,1.4800,2.32,0.9950,4,35-44,Tablet,Europe,Carousel,Conversion,Lifetime
106,1106,Campaign_106,Email,2023-10-31,9656,3299,453,3369.90,6832.55,0.3417,1.02,7.44,0.1373,2.03,0.6583,4,55+,Mobile,Europe,Image,Conversion,Lifetime
107,1107,Campaign_107,LinkedIn,2024-07-18,6741,161,160,2273.20,1597.96,0.0239,14.12,14.21,0.9938,0.70,0.9761,5,55+,Desktop,Europe,Video,Consideration,Daily
108,1108,Campaign_108,Organic Search,2024-12-12,17661,732,228,4458.67,9338.08,0.0414,6.09,19.56,0.3115,2.09,0.9586,3,25-34,Mobile,LATAM,Video,Conversion,Daily
109,1109,Campaign_109,LinkedIn,2023-03-06,32555,1211,233,3131.76,5301.11,0.0372,2.59,13.44,0.1924,1.69,0.9628,4,25-34,Mobile,Europe,Text,Consideration,Daily
110,1110,Campaign_110,LinkedIn,2023-02-13,29690,2429,88,4951.48,14044.45,0.0818,2.04,56.27,0.0362,2.84,0.9182,1,35-44,Mobile,LATAM,Image,Consideration,Daily
111,1111,Campaign_111,Facebook Ads,2024-12-16,33833,210,332,4105.88,5022.56,0.0062,19.55,12.37,1.5810,1.22,0.9938,5,18-24,Mobile,North America,Carousel,Awareness,Lifetime
112,1112,Campaign_112,LinkedIn,2023-05-04,38030,1475,309,269.33,623.61,0.0388,0.18,0.87,0.2095,2.32,0.9612,3,25-34,Mobile,Europe,Image,Awareness,Daily
113,1113,Campaign_113,Email,2023-05-29,6704,3711,214,1636.94,3809.41,0.5536,0.44,7.65,0.0577,2.33,0.4464,5,35-44,Tablet,Asia-Pacific,Video,Awareness,Daily
114,1114,Campaign_114,LinkedIn,2023-07-22,49123,327,419,2880.78,3035.63,0.0067,8.81,6.88,1.2813,1.05,0.9933,3,25-34,Mobile,North America,Carousel,Awareness,Daily
115,1115,Campaign_115,Facebook Ads,2023-07-24,42362,3441,96,3621.27,9987.68,0.0812,1.05,37.72,0.0279,2.76,0.9188,1,25-34,Tablet,Asia-Pacific,Carousel,Awareness,Daily
116,1116,Campaign_116,Email,2023-03-22,13175,1606,212,2774.17,4793.65,0.1219,1.73,13.09,0.1320,1.73,0.8781,2,25-34,Mobile,Europe,Carousel,Consideration,Lifetime
117,1117,Campaign_117,Google Ads,2023-12-10,13696,4642,353,3941.35,8659.97,0.3389,0.85,11.17,0.0760,2.20,0.6611,5,45-54,Mobile,North America,Text,Awareness,Lifetime
118,1118,Campaign_118,LinkedIn,2024-10-21,40023,1965,311,1449.15,1252.99,0.0491,0.74,4.66,0.1583,0.86,0.9509,3,45-54,Desktop,LATAM,Image,Awareness,Lifetime
119,1119,Campaign_119,Facebook Ads,2023-07-05,41209,4800,99,960.36,1099.14,0.1165,0.20,9.70,0.0206,1.14,0.8835,2,55+,Tablet,Europe,Image,Awareness,Daily
120,1120,Campaign_120,Google Ads,2023-07-03,29054,3157,144,316.89,622.77,0.1087,0.10,2.20,0.0456,1.97,0.8913,2,45-54,Mobile,Europe,Image,Consideration,Daily
121,1121,Campaign_121,Google Ads,2023-01-27,22076,352,9,2887.90,3747.25,0.0159,8.20,320.88,0.0256,1.30,0.9841,3,35-44,Mobile,LATAM,Video,Conversion,Lifetime
122,1122,Campaign_122,Organic Search,2024-10-28,15986,4583,470,3458.57,6049.84,0.2867,0.75,7.36,0.1026,1.75,0.7133,1,25-34,Mobile,Asia-Pacific,Carousel,Conversion,Lifetime
123,1123,Campaign_123,Email,2023-12-18,47118,2823,43,1664.44,2388.49,0.0599,0.59,38.71,0.0152,1.44,0.9401,4,45-54,Tablet,North America,Carousel,Awareness,Daily
124,1124,Campaign_124,LinkedIn,2024-10-09,15440,4331,250,3087.24,6487.48,0.2805,0.71,12.35,0.0577,2.10,0.7195,2,25-34,Tablet,North America,Video,Conversion,Lifetime
125,1125,Campaign_125,Facebook Ads,2023-11-19,8960,3295,385,308.18,529.41,0.3677,0.09,0.80,0.1168,1.72,0.6323,4,18-24,Tablet,LATAM,Text,Consideration,Daily
126,1126,Campaign_126,Organic Search,2024-06-20,23462,4818,226,541.50,276.99,0.2054,0.11,2.40,0.0469,0.51,0.7946,2,55+,Desktop,North America,Video,Awareness,Daily
127,1127,Campaign_127,Email,2024-11-14,18821,1050,397,3523.69,7485.03,0.0558,3.36,8.88,0.3781,2.12,0.9442,3,45-54,Desktop,LATAM,Carousel,Consideration,Lifetime
128,1128,Campaign_128,Organic Search,2023-10-02,28258,3884,248,1871.95,2911.45,0.1374,0.48,7.55,0.0639,1.56,0.8626,4,25-34,Mobile,Asia-Pacific,Text,Consideration,Lifetime
129,1129,Campaign_129,Email,2024-09-19,28353,4056,494,3373.10,4568.01,0.1431,0.83,6.83,0.1218,1.35,0.8569,1,18-24,Tablet,Asia-Pacific,Text,Awareness,Daily
130,1130,Campaign_130,Email,2023-03-18,24416,4828,492,4167.02,3064.29,0.1977,0.86,8.47,0.1019,0.74,0.8023,3,55+,Tablet,North America,Carousel,Consideration,Daily
131,1131,Campaign_131,LinkedIn,2023-10-03,23115,1768,168,4270.48,4487.95,0.0765,2.42,25.42,0.0950,1.05,0.9235,3,55+,Desktop,LATAM,Video,Awareness,Lifetime
132,1132,Campaign_132,Email,2024-01-08,47433,3880,129,902.23,955.85,0.0818,0.23,6.99,0.0332,1.06,0.9182,2,18-24,Mobile,LATAM,Image,Consideration,Lifetime
133,1133,Campaign_133,Organic Search,2024-07-10,25968,3231,18,2457.11,6974.32,0.1244,0.76,136.51,0.0056,2.84,0.8756,4,45-54,Tablet,LATAM,Image,Conversion,Lifetime
134,1134,Campaign_134,Email,2024-12-14,23731,2932,335,3682.94,5823.77,0.1236,1.26,10.99,0.1143,1.58,0.8764,4,45-54,Tablet,LATAM,Image,Conversion,Daily
135,1135,Campaign_135,LinkedIn,2024-08-29,23785,1048,234,3881.20,2348.76,0.0441,3.70,16.59,0.2233,0.61,0.9559,4,25-34,Mobile,North America,Video,Conversion,Lifetime
136,1136,Campaign_136,LinkedIn,2024-11-13,40397,334,491,3934.15,3332.39,0.0083,11.78,8.01,1.4701,0.85,0.9917,2,35-44,Desktop,Europe,Carousel,Consideration,Lifetime
137,1137,Campaign_137,Organic Search,2024-10-06,14828,470,344,1179.43,822.75,0.0317,2.51,3.43,0.7319,0.70,0.9683,3,25-34,Desktop,North America,Video,Awareness,Lifetime
138,1138,Campaign_138,Google Ads,2024-05-23,5541,2210,0,1003.05,1978.19,0.3988,0.45,0.00,0.0000,1.97,0.6012,2,25-34,Tablet,LATAM,Image,Conversion,Daily
139,1139,Campaign_139,Google Ads,2023-07-25,41644,3115,129,2970.56,2871.21,0.0748,0.95,23.03,0.0414,0.97,0.9252,4,25-34,Mobile,Europe,Image,Awareness,Daily
